,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
0,2021-05-09 19:00:00,1.412e-05,5e-05,1.412e-05,3.466e-05,95302311917668.00,2021-05-10 18:59:59.999,3030141753.80256448,4577629,49294865762467.00,1574047645.44267089,0
1,2021-05-10 19:00:00,3.468e-05,3.799e-05,2.78e-05,3.042e-05,64512785938482.00,2021-05-11 18:59:59.999,2123216855.20521211,3958630,32345745756016.00,1067858080.49882649,0
2,2021-05-11 19:00:00,3.04e-05,3.15e-05,1.752e-05,1.821e-05,86909144958765.00,2021-05-12 18:59:59.999,2129644950.11986553,3886777,41671697023530.00,1023865017.08160756,0
3,2021-05-12 19:00:00,1.817e-05,2.357e-05,1.53e-05,2.102e-05,91254881005748.00,2021-05-13 18:59:59.999,1761045968.31996264,3050941,45345649384549.00,878836595.66800642,0
4,2021-05-13 19:00:00,2.103e-05,2.224e-05,1.816e-05,1.84e-05,40927854276575.00,2021-05-14 18:59:59.999,822569815.54789043,1709467,19538598422717.00,392954675.29986872,0
5,2021-05-14 19:00:00,1.841e-05,1.897e-05,1.501e-05,1.553e-05,43727275531961.00,2021-05-15 18:59:59.999,740472826.56047907,1602319,21233519298144.00,359914195.69315231,0
6,2021-05-15 19:00:00,1.552e-05,1.962e-05,1.237e-05,1.784e-05,61634752660696.00,2021-05-16 18:59:59.999,960036000.90812640,1843872,31075153743286.00,486151415.45146710,0
7,2021-05-16 19:00:00,1.783e-05,1.808e-05,1.408e-05,1.651e-05,60156822115985.00,2021-05-17 18:59:59.999,969820585.55019393,1801208,29887207675863.00,482379147.73480473,0
8,2021-05-17 19:00:00,1.65e-05,1.8e-05,1.517e-05,1.56e-05,27976612440989.00,2021-05-18 18:59:59.999,460041392.82748250,935905,13656681234945.00,224864960.75299905,0
9,2021-05-18 19:00:00,1.562e-05,1.58e-05,6.3e-06,9.07e-06,90539301007324.00,2021-05-19 18:59:59.999,1020855304.82218882,2076308,43611002822352.00,492729498.15125114,0
10,2021-05-19 19:00:00,9.07e-06,1.219e-05,8e-06,9.64e-06,67205967066890.00,2021-05-20 18:59:59.999,681165643.47543086,1384667,33430461011995.00,339348777.15384030,0
11,2021-05-20 19:00:00,9.64e-06,1.035e-05,6.55e-06,8.2e-06,54603903901459.00,2021-05-21 18:59:59.999,456228641.87274713,1116947,26767594635489.00,224595997.58339936,0
12,2021-05-21 19:00:00,8.21e-06,9.83e-06,6.72e-06,8.42e-06,46318180421814.00,2021-05-22 18:59:59.999,367262301.15743240,839244,23598356726063.00,187304517.19280113,0
13,2021-05-22 19:00:00,8.42e-06,9.65e-06,6.94e-06,8.09e-06,60549130370846.00,2021-05-23 18:59:59.999,487458707.93602386,1033407,29982636074898.00,242014515.74568209,0
14,2021-05-23 19:00:00,8.08e-06,1.208e-05,7.73e-06,1.065e-05,66920838464554.00,2021-05-24 18:59:59.999,653153711.84601309,1343914,34703297994752.00,338280061.55362194,0
15,2021-05-24 19:00:00,1.065e-05,1.115e-05,8.76e-06,9.39e-06,43096086882356.00,2021-05-25 18:59:59.999,415471580.61647778,944665,21697355418130.00,209356535.46867859,0
16,2021-05-25 19:00:00,9.38e-06,1.05e-05,9.14e-06,9.49e-06,29880109514903.00,2021-05-26 18:59:59.999,289774724.88106098,736805,15393301063403.00,149382167.18117064,0
17,2021-05-26 19:00:00,9.49e-06,9.5e-06,8.5e-06,8.79e-06,21377807919679.00,2021-05-27 18:59:59.999,190827656.63134703,513819,10667418568749.00,95315652.20838515,0
18,2021-05-27 19:00:00,8.79e-06,8.85e-06,7.5e-06,7.9e-06,22969674539465.00,2021-05-28 18:59:59.999,184509672.21070744,525209,11323221345981.00,91015226.38169226,0
19,2021-05-28 19:00:00,7.91e-06,8.21e-06,7.3e-06,7.89e-06,15473428469390.00,2021-05-29 18:59:59.999,119787221.63179575,362567,7833043544600.00,60755452.47496303,0
20,2021-05-29 19:00:00,7.9e-06,8.13e-06,7.52e-06,7.86e-06,12847617230998.00,2021-05-30 18:59:59.999,100723011.56425260,293499,6699244508571.00,52581858.77571509,0
21,2021-05-30 19:00:00,7.85e-06,9.98e-06,7.69e-06,9.28e-06,29008796041217.00,2021-05-31 18:59:59.999,253567390.10077802,594812,15424041485210.00,134841944.03222941,0
22,2021-05-31 19:00:00,9.28e-06,9.43e-06,8.28e-06,8.82e-06,23622771954244.00,2021-06-01 18:59:59.999,208492653.49231128,529195,12013618082200.00,106127359.45025874,0
