month,ancalerts,binance,business,businessinsider,cnbc,cz_binance,dolartoday,elonmusk,emreaydin,forbes,indiatoday,vanguardngrnews
2017-12-01,1.0,,3.0,5.0,2.0,,,,,,,
2018-01-01,34.0,2.0,357.0,268.0,234.0,,,,,33.0,3.0,6.0
2018-02-01,11.0,,250.0,255.0,179.0,,,2.0,,49.0,10.0,2.0
2018-03-01,18.0,4.0,233.0,181.0,197.0,2.0,,,,29.0,,3.0
2018-04-01,6.0,,134.0,149.0,271.0,5.0,,,,29.0,1.0,1.0
2018-05-01,8.0,,129.0,125.0,199.0,1.0,,,,35.0,,2.0
2018-06-01,4.0,2.0,110.0,113.0,202.0,5.0,,,,12.0,4.0,
2018-07-01,3.0,1.0,76.0,96.0,103.0,6.0,,,,23.0,1.0,2.0
2018-08-01,4.0,1.0,74.0,81.0,131.0,5.0,,,,36.0,1.0,3.0
2018-09-01,1.0,2.0,101.0,56.0,83.0,6.0,,,,18.0,,1.0
2018-10-01,2.0,17.0,69.0,26.0,36.0,9.0,,1.0,,17.0,,2.0
2018-11-01,6.0,12.0,133.0,43.0,76.0,6.0,,,,10.0,,2.0
2018-12-01,1.0,8.0,93.0,25.0,23.0,6.0,,,,18.0,,1.0
2019-01-01,,11.0,51.0,42.0,40.0,4.0,,,,22.0,,2.0
2019-02-01,3.0,11.0,38.0,19.0,30.0,5.0,,3.0,,24.0,,2.0
2019-03-01,1.0,22.0,28.0,24.0,28.0,16.0,,,,17.0,,1.0
2019-04-01,6.0,20.0,65.0,32.0,40.0,13.0,,,,33.0,,2.0
2019-05-01,1.0,20.0,75.0,12.0,57.0,15.0,,,,22.0,,1.0
2019-06-01,2.0,30.0,104.0,37.0,84.0,21.0,,,,9.0,1.0,
2019-07-01,4.0,38.0,44.0,26.0,67.0,9.0,,,,11.0,2.0,1.0
2019-08-01,3.0,22.0,50.0,17.0,47.0,10.0,,,,14.0,,
2019-09-01,2.0,37.0,38.0,16.0,35.0,12.0,,,,6.0,,1.0
2019-10-01,,37.0,61.0,14.0,30.0,10.0,,,,7.0,1.0,
2019-11-01,1.0,25.0,44.0,15.0,21.0,7.0,,,,3.0,,
2019-12-01,,35.0,30.0,26.0,13.0,8.0,,,,9.0,,2.0
2020-01-01,,42.0,31.0,17.0,13.0,6.0,,1.0,,2.0,,1.0
2020-02-01,,68.0,30.0,15.0,19.0,17.0,,1.0,,14.0,,1.0
2020-03-01,,96.0,24.0,30.0,10.0,16.0,,,,6.0,1.0,
2020-04-01,,70.0,21.0,17.0,5.0,6.0,,,,,,
2020-05-01,2.0,115.0,22.0,26.0,12.0,18.0,,3.0,,6.0,,2.0
2020-06-01,2.0,82.0,28.0,18.0,1.0,9.0,,,,,,
2020-07-01,5.0,92.0,28.0,28.0,13.0,12.0,,,,3.0,7.0,9.0
2020-08-01,,65.0,23.0,24.0,1.0,11.0,,,,2.0,,1.0
2020-09-01,,41.0,31.0,14.0,1.0,3.0,,,,1.0,,2.0
2020-10-01,,68.0,31.0,30.0,12.0,16.0,,,,6.0,2.0,4.0
2020-11-01,8.0,113.0,68.0,44.0,42.0,19.0,,1.0,,6.0,2.0,12.0
2020-12-01,6.0,128.0,76.0,58.0,48.0,37.0,,2.0,,12.0,10.0,2.0
2021-01-01,8.0,107.0,187.0,76.0,84.0,119.0,,,,21.0,7.0,14.0
2021-02-01,22.0,109.0,203.0,73.0,215.0,95.0,,10.0,,97.0,7.0,30.0
2021-03-01,9.0,82.0,164.0,61.0,167.0,69.0,,6.0,,148.0,4.0,8.0
2021-04-01,12.0,61.0,173.0,28.0,245.0,47.0,,1.0,,132.0,1.0,14.0
2021-05-01,16.0,56.0,331.0,48.0,361.0,73.0,1.0,11.0,2.0,184.0,26.0,8.0
